rank	   KS	accession	description
3962	609	L31881_at	NFIX Nuclear factor I/X (CCAAT-binding transcription factor)
3963	609	U14577_s_at	MAP1A Microtubule-associated protein 1A
3964	609	Y10256_at	"GB DEF = Serine/threonine protein kinase, NIK"
3965	609	X84746_at	"GB DEF = Histo-blood group AB0 gene, exon 1"
3966	609	Z14093_at	"BCKDHA Branched chain keto acid dehydrogenase E1, alpha polypeptide (maple syrup urine disease)"
3967	609	X86371_s_at	"Tumour suppressor protein, HUGL"
3968	609	L40387_at	"GB DEF = Thyroid receptor interactor (TRIP14) gene, 3' end of cds"
3969	609	Z48054_at	PXR1 Peroxisome receptor 1
3970	609	L39064_rna1_at	Interleukin 9 receptor (IL9R) gene
3971	609	HG2987-HT3136_s_at	Vasoactive Intestinal Peptide
3972	609	U13395_at	Oxidoreductase (HHCMA56) mRNA
3973	609	U43527_at	"Malignant melanoma metastasis-suppressor (KiSS-1) gene, mRNA"
3974	609	L34657_at	PECAM1 Platelet/endothelial cell adhesion molecule (CD31 antigen)
3975	609	L15326_s_at	PTGS2 Prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)
3976	609	U82970_at	Phosphate regulating neutral endopeptidase (PEX) mRNA
3977	609	M32373_at	ARSB Arylsulfatase B
3978	609	M74719_at	"SEF2-1A protein (SEF2-1A) mRNA, 5' end"
3979	609	Y08564_at	GB DEF = GalNAc-T4 gene
3980	609	M62505_at	C5R1 Complement component 5 receptor 1 (C5a ligand)
3981	609	U66059_cds7_at	"TCRBV1S1A1N1 gene extracted from Human germline T-cell receptor beta chain Dopamine-beta-hydroxylase-like, TRY1, TRY2, TRY3, TCRBV27S1P, TCRBV22S1A2N1T, TCRBV9S1A1T, TCRBV7S1A1N2T, TCRBV5S1A1T, TCRBV13S3, TCRBV6S7P, TCRBV7S3A2T, TCRBV13S2A1T, TCRBV9S2A2PT, TCRBV7S2A1N4T, TCRBV13S9/13S2A1T, TCRBV6S5A1N1, TCRBV30S1P, TCRBV31S1, TCRBV13S5, TCRBV6S1A1N1, TCRBV32S1P, TCRBV5S5P, TCRBV1S1A1N1, TCRBV12S2A1T, TCRBV21S1, TCRBV8S4P, TCRBV12S3, TCRBV21S3A2N2T, TCRBV8S5P, TCRBV13S1 genes from bases 1 to 267156 (section 1 of 3)"
3982	609	J00117_f_at	Chorionic gonadotropin (hcg) beta subunit mRNA
3983	609	D87957_at	Male foreskin fibroblast DNA for protein involved in sexual development
3984	609	HG180-HT180_at	Ahnak-A Nucleoprotein Ahnak-A
3985	609	U60808_s_at	CDP-diacylglycerol synthase (CDS) mRNA
3986	609	U85992_at	"Clone IMAGE:35527 unknown protein mRNA, partial cds"
3987	609	U68723_at	NADH:ubiquinone oxidoreductase subunit B13 (B13) mRNA
3988	609	Z48481_at	MT-MMP protein
3989	609	D85759_s_at	Serine/threonine protein kinase
3990	609	X73501_at	"KERATIN, TYPE I CYTOSKELETAL 20"
3991	609	L39009_at	"GB DEF = Class IV alcohol dehydrogenase 7 (ADH7) gene, 5' flanking region"
3992	609	X89211_at	GB DEF = DNA for endogenous retroviral like element
3993	609	U57317_at	P300/CBP-associated factor (P/CAF) mRNA
3994	609	D82347_at	NEUROD1 Neurogenic differentiation 1
3995	609	D32001_at	"GB DEF = HuSAA1g gene for serum amyloid A1 gamma, exon 3 and intron 3"
3996	609	Z12173_at	GNS Glucosamine (N-acetyl)-6-sulfatase (Sanfilippo disease IIID)
3997	609	M17236_s_at	"HLA CLASS II HISTOCOMPATIBILITY ANTIGEN, DQ(2) ALPHA CHAIN PRECURSOR"
3998	609	U65406_rna4_at	"KCNJ1 gene (potassium channel ROM-K3) extracted from Human alternatively spliced potassium channels ROM-K1, ROM-K2, ROM-K3, ROM-K4, ROM-K5, and ROM-K6 (KCNJ1) gene"
3999	609	L33477_at	(clone 8B1) Br-cadherin mRNA
4000	609	U33841_at	"ATM Ataxia telangiectasia mutated (includes complementation groups A, C and D)"
4001	609	L36529_at	(clone N5-4) protein p84 mRNA
4002	609	U95020_at	Voltage-dependent calcium channel beta-4 subunit mRNA
4003	609	X70991_at	MADER mRNA
4004	609	X95237_at	Cysteine-rich secretory protein-1 delta
4005	609	D86958_at	KIAA0203 gene
4006	609	HG371-HT26388_at	"Mucin 1, Epithelial, Alt. Splice 9"
4007	609	L13698_at	GAS1 Growth arrest-specific 1
4008	609	M74297_at	HOXA4 Homeo box A4
4009	609	L35854_at	"GB DEF = Dystrophin (dp140) mRNA, 5' end"
4010	609	U46024_at	MTM1 Myotubular myopathy 1
4011	609	M33552_at	GB DEF = Lymphocyte-specific protein 1 (LSP1) mRNA
4012	609	X81892_at	GB DEF = HE6 Tm7 receptor
4013	609	HG2325-HT2421_at	"Retinoic Acid Receptor, Gamma 2"
4014	609	M64347_at	"FGFR3 Fibroblast growth factor receptor 3 (achondroplasia, thanatophoric dwarfism)"
4015	609	U59058_s_at	"Beta-A3/A1 crystallin (CYRBA3/A1) mRNA, partial cds"
4016	609	J00220_cds5_at	IGHA1 gene extracted from Human Ig germline H-chain G-E-A region A: gamma-3 5' flank
4017	609	M62397_at	MCC Mutated in colorectal cancers
4018	609	S77094_at	Muscle acetylcholine receptor alpha-subunit
4019	609	L02320_at	RDX Radixin
4020	609	U04325_cds3_at	"PSG11 gene (pregnancy-specific beta-1-glycoprotein 11 C-A domain) extracted from Human pregnancy-specific beta-1-glycoprotein alternatively spliced C-R, C-S, C-B, and C-A domains (PSG11) gene, partial cds"
4021	609	L32164_at	"Zinc finger protein mRNA, 3' end"
4022	609	U81001_at	"SNRPN mRNA, 3' UTR, partial sequence"
4023	609	AFFX-BioDn-5_st	AFFX-BioDn-5_st (endogenous control)
4024	609	D50487_at	RNA helicase (HRH1)
4025	609	X84908_at	"Phosphorylase-kinase, beta subunit"
4026	609	L22214_at	ADORA1 Adenosine receptor A1
4027	609	D88667_at	Cerebroside sulfotransferase
4028	609	M32402_at	PLACENTAL PROTEIN 11 PRECURSOR
4029	609	X06290_at	APOLIPOPROTEIN(A) PRECURSOR
4030	609	Z49155_at	HD Huntingtin (Huntington disease)
4031	609	HG3971-HT4241_at	Transcription Factor (Gb:L32162)
4032	609	S62904_s_at	TPMT Thiopurine S-methyltransferase
4033	609	U59302_at	Steroid receptor coactivator (SRC-1) mRNA
4034	609	X83490_s_at	"GB DEF = Fas/Apo-1 (clone pCRTM11-Fasdelta(3,4))"
4035	609	L13203_at	HNF-3/fork-head homolog-3 HFH-3 mRNA
4036	609	U36501_at	SP100 Nuclear antigen Sp100
4037	609	M63835_at	"HIGH AFFINITY IMMUNOGLOBULIN GAMMA FC RECEPTOR I ""A FORM"" PRECURSOR"
4038	609	U22178_s_at	MSMB Beta-microseminoprotein (prostate secreted)
4039	609	L36642_at	Receptor protein-tyrosine kinase (HEK11) mRNA
4040	609	D49488_at	TTPA Tocopherol (alpha) transfer protein (ataxia (Friedreich-like) with vitamin E deficiency)
4041	609	U53506_at	Type II iodothyronine deiodinase mRNA
4042	609	Z48510_at	GB DEF = XG mRNA (clone FB1)
4043	609	X15675_at	GB DEF = PTR7 mRNA for repetitive sequence
4044	609	M80629_at	Cdc2-related protein kinase (CHED) mRNA
4045	609	U60060_at	FEZ1 mRNA
4046	609	U67934_at	"44.9 kDa protein C18B11 homolog gene, partial cds"
4047	609	M55040_at	ACHE Acetylcholinesterase (YT blood group)
4048	609	U11732_at	ETV6 Ets variant gene 6 (TEL oncogene)
4049	609	M60278_at	DTR Diphtheria toxin receptor (heparin-binding epidermal growth factor-like growth factor)
4050	609	X94629_at	Metaphase chromosmal protein
4051	609	Z73497_at	"GB DEF = DNA sequence from cosmid U240C2, between markers DXS366 and DXS87 on chromosome X. Contains Histone H2B, ESTs, enhancer-like sequence"
4052	609	X15217_at	SKI-RELATED ONCOGENE SNON
4053	609	M19684_at	"GB DEF = Alpha-1-antitrypsin-related protein gene, exons 3, 4 and 5"
4054	609	U18288_at	Clone CIITA-10 MHC class II transactivator CIITA mRNA
4055	609	M86407_at	ACTN3 Actinin alpha-3
4056	609	X07994_at	LCT Lactase
4057	609	M95712_at	BRAF V-raf murine sarcoma viral oncogene homolog B1
4058	609	Z24459_xpt5_at	"Exon2A from  H.sapiens MTCP1 gene, exons 2A to 7 (and joined mRNA)./ntype=DNA /annot=exon"
4059	609	D17525_at	CRARF C4/C2 activating component of Ra-reactive factor
4060	609	U73682_at	Meningioma-expressed antigen 6 (MEA6) mRNA
4061	609	HG64-HT64_at	Nf-Kappa B-Binding Protein Kbp-1
4062	609	X69878_at	FLT4 Fms-related tyrosine kinase 4
4063	609	D86975_at	KIAA0222 gene
4064	609	HG3299-HT3476_at	Acetyl-Coenzyme A Carboxylase
4065	609	S78569_at	"LAMA4 Laminin, alpha 4"
4066	609	V00551_f_at	"IFNA10 Interferon, alpha 10"
4067	609	M61199_at	CLEAVAGE SIGNAL-1 PROTEIN
4068	609	U13948_at	Zinc finger/leucine zipper protein (AF10) mRNA
4069	609	X94333_at	TGN46 protein
4070	609	Z83735_at	GB DEF = HH3/k gene
4071	609	D43968_at	CBFA2 Proto-oncogene AML1 {alternative products}
4072	609	U47926_at	Unknown protein B mRNA
4073	609	U18004_at	HSU18004 Homo sapiens cDNA
4074	609	X62891_s_at	Mutant coseg gene for vasopressin-neurophysin precursor
4075	609	AC002077_at	"GUANINE NUCLEOTIDE-BINDING PROTEIN G(T), ALPHA-1 SUBUNIT"
4076	609	HG4120-HT4392_s_at	"Protein Kinase Pitslre, Alpha, Alt. Splice 2-1"
4077	609	D87469_at	"KIAA0279 gene, partial cds"
4078	609	X91348_at	Predicted non coding cDNA (DGCR5)
4079	609	D82346_at	HNSPC
4080	609	U89326_at	Bone morphogenetic protein receptor type I ALK-6 mRNA
4081	609	U64520_at	Synaptobrevin-3 mRNA
4082	609	AF009426_at	"Clone 22 mRNA, alternative splice variant alpha-1"
4083	609	X07109_at	"(clones lambda-hPKC-beta[15,802]) protein kinase C-beta-1 (PRKCB1) mRNA"
4084	609	M97347_s_at	"GCNT1 Glucosaminyl (N-acetyl) transferase 1, core 2 (beta-1,6-N-acetylglucosaminyltransferase)"
4085	609	Y12812_at	RFXAP mRNA
4086	609	HG415-HT415_at	"Lectin, Galactoside-Binding, Soluble, 2"
4087	609	L17128_at	GGCX Gamma-glutamyl carboxylase
4088	609	U30313_at	GB DEF = Diadenosine tetraphosphatase mRNA
4089	609	X95826_at	GB DEF = ART4 gene
4090	609	L07738_at	"DIHYDROPRYRIDINE-SENSITIVE L-TYPE, SKELETAL MUSCLE CALCIUM CHANNEL GAMMA SUBUNIT"
4091	609	X83705_s_at	GB DEF = C-sis proto-oncogene
4092	609	D86957_at	"KIAA0202 gene, partial cds"
4093	609	Z73677_at	GB DEF = Gene encoding plakophilin 1b
4094	609	HG3369-HT3546_at	"Potassium Channel, Voltage-Gated, Isk-Related Family, Member 1"
4095	609	U04636_rna1_at	Cyclooxygenase-2 (hCox-2) gene
4096	609	X82240_rna1_at	TCL1 gene (T cell leukemia) extracted from H.sapiens mRNA for Tcell leukemia/lymphoma 1
4097	609	M64936_at	Retinoic acid-inducible endogenous retroviral DNA
4098	609	M10950_cds2_at	Alpha-fetoprotein (AFP) gene
4099	609	M59964_at	MGF Mast cell growth factor
4100	609	Z22970_at	M130 antigen
4101	609	X15393_rna1_at	Motilin gene exon 2 (and joined CDS)
4102	609	D38163_s_at	"COL19A1 Collagen, type XIX, alpha 1"
4103	609	L10102_rna1_at	Sex-determining region Y (SRY) gene
4104	609	HG3730-HT4000_s_at	Tyrosine Kinase Syk
4105	609	X52541_at	EGR1 Early growth response protein 1
4106	609	Z11697_at	CD83 ANTIGEN PRECURSOR
4107	609	M60830_at	EVI2B PROTEIN PRECURSOR TROPIC VIRAL INTEGRATION SITE 2B PROTEIN)
4108	609	L01664_at	CLC Charot-Leyden crystal protein
4109	609	D13305_at	CCKBR Cholecystokinin B receptor
4110	609	M14218_at	ASL Argininosuccinate lyase
4111	609	S81737_s_at	"SNT1 Syntrophin, alpha (dystrophin-associated protein A1, 59kD, acidic component)"
4112	609	J00220_cds4_at	Ig germline H-chain G-E-A region A: gamma-3 5' flank
4113	609	X74987_s_at	2-5A binding protein
4114	609	L41390_at	"GB DEF = Core 2 beta-1,6-N-acetylglucosaminyltransferase (core 2 GnT) gene, exon 1"
4115	609	U19906_at	VASOPRESSIN V1A RECEPTOR
4116	609	M63623_at	MOG Myelin oligodendrocyte glycoprotein
4117	609	L31573_at	Sulfite oxidase mRNA
4118	609	X93498_at	21-Glutamic Acid-Rich Protein (21-GARP)
4119	609	HG4144-HT4414_at	Zinc Finger Protein Hzf6
4120	609	U64197_at	CC chemokine LARC precursor
4121	609	U57057_at	WD protein IR10 mRNA
4122	609	U67988_at	Guanylate kinase associated protein (GKAP) mRNA
4123	609	M64269_s_at	GB DEF = Mast cell chymase gene
4124	609	M29335_s_at	"GB DEF = MHC class II DO-alpha mRNA, partial cds"
4125	609	M33882_at	"MX1 Myxovirus (influenza) resistance 1, homolog of murine (interferon-inducible protein p78)"
4126	609	D63390_at	Acetylhydrolase IB beta-subunit
4127	609	M28219_at	LDLR Low density lipoprotein receptor (familial hypercholesterolemia)
4128	609	U25750_at	GB DEF = Chromosome 17q21 mRNA clone 1046:1-1
4129	609	HG458-HT458_f_at	"Beta-1-Glycoprotein 1, Pregnancy-Specific (Gb:M20882)"
4130	609	U43916_s_at	B4B
4131	609	U57092_at	Small GTP-binding protein rab30
4132	609	D87077_at	"KIAA0240 gene, partial cds"
4133	609	M57471_at	"GB DEF = Urate oxidase (UOX) gene, exon 5"
4134	609	U20760_at	"CASR Calcium-sensing receptor (hypocalciuric hypercalcemia 1, severe neonatal hyperparathyroidism)"
4135	609	U58681_at	GB DEF = Neurogenic basic-helix-loop-helix protein (NeuroD2) gene
4136	609	U43189_s_at	"Ets transcription factors NERF-1a and NERF-1b (NERF-1a,b) mRNA"
4137	609	U92314_s_at	Hydroxysteroid sulfotransferase SULT2B1a (HSST2) mRNA
4138	609	D88799_at	"GB DEF = Cadherin, partial cds"
4139	609	U90914_at	Clone 23587 mRNA sequence
4140	609	D16827_s_at	GB DEF = Fifth somatostatin receptor subtype
4141	609	U79526_at	Orphan G-protein coupled receptor Dez isoform a mRNA
4142	609	U52828_s_at	"Delta-catenin mRNA, partial cds"
4143	609	U50146_at	Neuropeptide y2 receptor mRNA
4144	609	Z84721_cds2_at	"Alpha-globin 1 gene extracted from Human DNA sequence from cosmid GG1 from a contig from the tip of the short arm of chromosome 16, spanning 2Mb of 16p13.3 Contains alpha and zeta globin genes and ESTs"
4145	609	U36500_at	Lymphoid-specific SP100 homolog (LYSP100-A) mRNA
4146	609	L34035_at	NADP-dependent malic enzyme mRNA
4147	609	U08096_at	"GB DEF = Peripheral myelin protein-22 (PMP22) gene, non-coding exon 1B"
4148	609	X06614_at	Receptor of retinoic acid
4149	609	HG4755-HT5203_s_at	Spinal Muscular Atrophy 4
4150	609	U62438_at	"CHRNB3 Cholinergic receptor, nicotinic, beta polypeptide 3"
4151	609	X85178_at	SURF-5 mRNA
4152	609	L39060_at	Transcription factor SL1 mRNA
4153	609	L47345_at	"TCEB3 Transcription elongation factor B (SIII), polypeptide 3 (110kD, elongin A)"
4154	609	D38128_at	PTGIR Prostaglandin I2 (prostacyclin) receptor (IP)
4155	609	D10922_s_at	FPRL2 Formyl peptide receptor-like 2
4156	609	D89501_at	PBI gene
4157	609	HG544-HT544_at	Endothelial Cell Growth Factor 1
4158	609	L29376_at	GB DEF = (clone 3.8-1) MHC class I mRNA fragment
4159	609	Y10205_at	GB DEF = CD88 protein
4160	609	U89717_at	RDH1 Retinol dehydrogenase 1 (11-cis)
4161	609	M60751_at	GB DEF = Histone H2B.1 (H2B) gene
4162	609	L20852_at	Leukemia virus receptor 2 (GLVR2) mRNA
4163	609	U18467_at	PSG7 Pregnancy-specific beta 1-glycoprotein 7
4164	609	L38593_s_at	"GB DEF = Integral membrane protein (NRAMP1) gene, exon 5"
4165	609	HG1111-HT1111_at	Ras-Like Protein Tc21
4166	609	X13916_at	LDL-receptor related protein
4167	609	L17325_at	Pre-T/NK cell associated protein (1D12A2) mRNA
4168	609	L35269_at	ZINC FINGER PROTEIN 35
4169	609	U28249_at	MAT8 protein
4170	609	M18533_at	"DMD Dystrophin (muscular dystrophy, Duchenne and Becker types)"
4171	609	HG3999-HT4269_at	"Retinoic Acid Receptor, Beta, Isoform 1"
4172	609	L12468_at	ENPEP Glutamyl aminopeptidase (aminopeptidase A)
4173	609	D88155_s_at	Steroidogenic factor 1 mRNA
4174	609	L38025_at	CNTFR Ciliary neurotrophic factor receptor
4175	609	HG4236-HT4506_f_at	Zinc Finger Protein Znf138
4176	609	M24461_at	PULMONARY SURFACTANT-ASSOCIATED PROTEIN B PRECURSOR
4177	609	M24594_at	IFI56 Interferon-induced protein 56
4178	609	D83597_at	RP105
4179	609	HG2416-HT2512_at	"Gal Beta 1,3(4)Glcnac Alpha2,3-Sialyltransferase"
4180	609	M27504_s_at	"GB DEF = Topoisomerase type II (Topo II) mRNA, partial cds"
4181	609	M90366_at	Zona pellucida glycoprotein 2 (ZP2) mRNA
4182	609	M22638_at	LYL-1 protein gene
4183	609	U49260_at	Mevalonate pyrophosphate decarboxylase (MPD) mRNA
4184	609	M86406_at	ACTN2 Actinin alpha 2 
4185	609	U40763_s_at	Clk-associated RS cyclophilin CARS-Cyp mRNA
4186	609	D90224_at	TXGP1 Tax-transcriptionally activated glycoprotein 1 (34kD)
4187	609	U82759_at	GB DEF = Homeodomain protein HoxA9 mRNA
4188	609	U91931_at	AP-3 complex beta3A subunit mRNA
4189	609	L13744_at	AF-9 PROTEIN
4190	609	Z78285_f_at	GB DEF = mRNA (clone 1A7)
4191	609	S81294_at	"GB DEF = DCC=deleted in colorectal cancer {alternatively spliced, exon 1A} [human, brain tumor, tumor no. 245, mRNA Partial, 216 nt]"
4192	609	U20158_at	76 kDa tyrosine phosphoprotein SLP-76 mRNA
4193	609	AFFX-LysX-5_at	AFFX-LysX-5_at (endogenous control)
4194	609	U39576_at	BTN Butyrophilin
4195	609	M81695_s_at	"ITGAX Integrin, alpha X (antigen CD11C (p150), alpha polypeptide)"
4196	609	U18088_s_at	"3',5'-cyclic AMP phosphodiesterase inactive splice variant HSPDE4A8A mRNA"
4197	609	U47292_at	"Spasmolytic polypeptide (SP) gene, 5' region and"
4198	609	L07261_s_at	"Alpha adducin mRNA, partial cds including alternate exons A and B"
4199	609	U27326_s_at	"FUT3 Alpha (1,3/1,4) fucosyltransferase"
4200	609	U80226_s_at	"GB DEF = Gamma-aminobutyric acid transaminase mRNA, partial cds"
4201	609	U26424_at	Stress responsive serine/threonine protein kinase Krs-1 mRNA
4202	609	U20759_s_at	"CASR Calcium-sensing receptor (hypocalciuric hypercalcemia 1, severe neonatal hyperparathyroidism)"
4203	609	J05008_at	EDN1 Endothelin 1 {alternative products}
4204	609	U66036_at	Sulfotransferase mRNA
4205	609	U50929_at	Betaine:homocysteine methyltransferase mRNA
4206	609	L77566_at	"DGS-I mRNA, 3' end"
4207	609	M29204_at	GC-RICH SEQUENCE DNA-BINDING FACTOR
4208	609	D38145_at	Prostacyclin synthase
4209	609	Z29572_at	Antisense mRNA for BCMA peptide
4210	609	U57796_at	Zinc finger protein (LD5-1) mRNA
4211	609	U23850_s_at	"Type 1 inositol 1,4,5-trisphosphate receptor"
4212	609	X00540_at	PRL Prolactin
4213	609	X67697_at	SPERM ANTIGEN HE2 PRECURSOR
4214	609	X12530_s_at	CD20 RECEPTOR
4215	609	U51333_s_at	HK3 Hexokinase 3 (white cell)
4216	609	M28825_at	CD1A CD1a antigen (thymocyte antigen)
4217	609	L47125_s_at	EEF1A1 Translation elongation factor 1-alpha-1
4218	609	X57025_at	IGF1 Insulin-like growth factor 1 (somatomedia C)
4219	609	L07592_at	Peroxisome proliferator activated receptor mRNA
4220	609	D87683_at	"KIAA0243 gene, partial cds"
4221	609	D85939_at	P97 homologous protein
4222	609	X86163_at	BDKRB2 Bradykinin receptor B2
4223	609	D38500_at	"PMS8 mRNA (yeast mismatch repair gene PMS1 homologue), partial cds (C-terminal region)"
4224	609	X16546_at	RNS2 Ribonuclease 2 (eosinophil-derived neurotoxin; EDN)
4225	609	L05624_s_at	DUAL SPECIFICITY MITOGEN-ACTIVATED PROTEIN KINASE KINASE 1
4226	609	M10050_at	HBG2 Hemoglobin gamma-G 
4227	609	S94421_at	"GB DEF = TCR eta =T cell receptor eta-exon [human, Genomic, 806 nt]"
4228	609	M60284_s_at	"GB DEF = Neurokinin A receptor (NK-2R) gene, exon 5"
4229	609	X03350_at	"ADH2 Alcohol dehydrogenase 2 (class I), beta polypeptide"
4230	609	U66578_at	Purinergic receptor P2Y9 mRNA
4231	609	HG2887-HT3031_at	Sry-Related Hmg-Box 12 Protein (Gb:X73039)
4232	609	X84195_at	"Acylphosphatase, muscle type (MT) isoenzyme"
4233	609	J03171_at	INTERFERON-ALPHA/BETA RECEPTOR ALPHA CHAIN PRECURSOR
4234	609	M55418_at	"GB DEF = Amelogenin (AMELX) gene, 3' end of cds"
4235	609	J04760_at	"TNNI1 Troponin I, skeletal, slow"
4236	609	U89336_cds1_at	"Unknown gene extracted from Human HLA class III region containing NOTCH4 gene, partial sequence, homeobox PBX2 (HPBX) gene, receptor for advanced glycosylation end products (RAGE) gene, and 6 unidentified cds, complete sequence"
4237	609	X93512_at	GB DEF = Telomeric DNA binding protein (orf2)
4238	609	M58509_cds1_s_at	FDXR gene (adrenodoxin reductase) extracted from Human adrenodoxin reductase gene
4239	609	U33761_at	Cyclin A/CDK2-associated p45 (Skp2) mRNA
4240	609	X14445_at	INT-2 PROTO-ONCOGENE PROTEIN PRECURSOR
4241	609	D50863_at	TESK1
4242	609	X96401_at	GB DEF = ROX protein
4243	609	S42457_at	CGMP-GATED CATION CHANNEL PROTEIN
4244	609	U02310_at	FKHR Homolog 1 of Drosophila forkhead (rhabdomyosarcoma)
4245	609	M25756_at	SECRETOGRANIN II PRECURSOR
4246	609	J04449_at	CYP3A4 Cytochrome P450 IIIA4 (nifedipine oxidase chain 4)
4247	609	V00571_rna1_at	Gene encoding prepro form of corticotropin releasing factor
4248	609	HG896-HT896_at	Thrombospondin 2 (Gb:L07803)
4249	609	HG3107-HT3283_s_at	Plasma Membrane Calcium Pump Hpmca2a
4250	609	U52426_at	GOK (STIM1) mRNA
4251	609	U73338_at	Methionine synthase mRNA
4252	609	U32581_at	Lambda/iota-protein kinase C-interacting protein mRNA
4253	609	U71092_at	GB DEF = Somatostatin receptor-like protein (GPR24) gene
4254	609	HG4115-HT4385_at	Olfactory Receptor Or17-210
4255	609	U79249_at	Clone 23839 mRNA sequence
4256	609	D87436_at	KIAA0249 gene
4257	609	U18237_at	"ATP-binding cassette protein mRNA 06B09 clone, partial cds"
4258	609	L09234_at	"ATP6A2 ATPase, H+ transporting, lysosomal (vacuolar proton pump), alpha polypeptide, 70kD, isoform 2"
4259	609	HG2480-HT2576_at	Fmlp-Related Receptor I
4260	609	M60556_rna2_at	"TGFB3 gene (transforming growth factor-beta 3) extracted from Human transforming growth factor beta-3 gene, 5' end"
